id	label	level	desc	connections	color	validated
049fbde7-e335-5778-8bce-20b72d2b2fae	BABOK® Guide v3 - Toàn diện Khung Phân tích Nghiệp vụ Quốc tế	1	Tiêu chuẩn toàn cầu được công nhận bởi IIBA về phân tích nghiệp vụ, cung cấp khung 6 Khối kiến thức (Knowledge Areas), Mô hình khái niệm cốt lõi BACCM, 50 kỹ thuật thực chiến và nhóm năng lực nền tảng giúp thúc đẩy sự thay đổi mang lại giá trị thực tế cho doanh nghiệp.	663f03f9-d35e-54f0-9cd2-d4401b48dcaa;408840a4-21a6-51f2-8298-de41a2e7d9cd;623ccf52-d397-5f51-9540-37763b08726b;881e5b2b-4813-5e5a-8f38-1e03db520aed;938399fb-f856-5b1e-a624-d33ef2b9d16d;602f6404-5ae1-59d9-b772-e9cab7bdd158;6164c582-b9f5-550c-8da9-46c97ecb89b9;979db1ed-bba3-59de-814c-3b5fcb360dbf	#1E293B	true
663f03f9-d35e-54f0-9cd2-d4401b48dcaa	Những khái niệm chính trong Phân tích nghiệp vụ & Mô hình BACCM	2	Bộ khung định hình bản chất của phân tích nghiệp vụ gồm 6 khái niệm cốt lõi (BACCM: Thay đổi, Nhu cầu, Giải pháp, Giá trị, Các bên liên quan, Bối cảnh), cấu trúc phân loại 4 cấp độ yêu cầu, phân biệt yêu cầu với thiết kế, và chân dung 10 bên liên quan trọng yếu.	049fbde7-e335-5778-8bce-20b72d2b2fae;844f2452-707e-55af-b265-fe14042dc140;ee395cdd-cd9a-5f1f-8ac0-cc8a6dc75341;b1f9206d-bed3-539c-a7ac-dd241de1f2e4;784e9522-6987-51ca-8175-6249a6f26854	#D97706	true
408840a4-21a6-51f2-8298-de41a2e7d9cd	Business Analysis Planning and Monitoring (BAPM)	2	Khối kiến thức hướng dẫn tổ chức, điều phối và kiểm soát toàn bộ nỗ lực phân tích nghiệp vụ xuyên suốt sáng kiến. Giúp xác định cách tiếp cận (Dự đoán vs Thích ứng), gắn kết các bên liên quan, thiết lập quy trình quản trị, quản lý tài sản thông tin và liên tục đo lường cải tiến hiệu suất công việc của BA.	049fbde7-e335-5778-8bce-20b72d2b2fae;5224b426-07b5-540d-9dee-8490a29d1207;e191ec07-3e81-525d-8e3f-785d981ab395;41c95f67-613f-5f53-84e7-13ce1b7842b5;ba0bf964-c767-5032-8e84-32f1ddb50fa0;6e46fcf5-5e66-579d-ab4b-b5c85076f94c	#2563EB	true
623ccf52-d397-5f51-9540-37763b08726b	Underlying Competencies	2	Tập hợp các phẩm chất cá nhân, tư duy, kiến thức nghiệp vụ, kỹ năng giao tiếp tương tác và năng lực công nghệ giúp BA hành nghề chuyên nghiệp, tạo dựng niềm tin và dẫn dắt các bên liên quan vượt qua sự mơ hồ để tạo ra đột phá.	049fbde7-e335-5778-8bce-20b72d2b2fae;6b787aac-3340-54bb-8dd5-c2713006e12f;2af65463-0b98-5eb1-9ba6-f998e8083afb;987ab0e7-3b35-5a0d-8dfc-4ae371c33506;4a5e7c70-a44f-5da9-95f3-be6d8fcb62d6;cce466c0-fa82-51f0-8a9c-9fea74131f94;75680ed5-fa7e-5a58-bd55-296efc7bdf81	#475569	true
881e5b2b-4813-5e5a-8f38-1e03db520aed	Elicitation and Collaboration	2	Khối kiến thức mô tả việc chuẩn bị, tiến hành và xác nhận thông tin nghiệp vụ từ các bên liên quan; đồng thời truyền đạt thông tin liên tục và nuôi dưỡng mối quan hệ hợp tác đa chiều trong suốt vòng đời dự án.	049fbde7-e335-5778-8bce-20b72d2b2fae;cd88db28-6da1-5e47-a355-eed9493c363a;e54ab72f-cdf7-513e-9af4-e9d88f090d98;bd78bb9e-a13b-54b3-b443-0c6aa02b8e72;3d117562-8f35-5464-9759-d8c512a8e440;7dfd236f-7b1d-5174-a80a-91ea74b7f66e	#059669	true
938399fb-f856-5b1e-a624-d33ef2b9d16d	Requirements Analysis and Design Definition (RADD)	2	Khối kiến thức biến các thông tin thô thu thập được thành các mô hình yêu cầu cụ thể, xác minh chất lượng, xác nhận tính phù hợp giá trị, kiến trúc hóa cấu trúc thông tin, đồng thời phát triển các tùy chọn thiết kế và đề xuất giải pháp tối ưu.	049fbde7-e335-5778-8bce-20b72d2b2fae;0cae8f8c-2042-5cc8-849b-3172cd85a52e;4561301d-a10b-5730-9104-41c6e4926732;2c5fe3a9-7a7c-5076-be31-1a81e3fa7dca;58392fb5-3ec9-5b6e-a044-3a31b41eade8;b3b1fcdf-0432-50a2-a3a2-96ac55172ef1;6099c115-0a06-5aa2-bf2c-8a624f904fde	#DB2777	true
602f6404-5ae1-59d9-b772-e9cab7bdd158	Requirements Life Cycle Management	2	Khối kiến thức kiểm soát yêu cầu và thiết kế từ khi xuất hiện đến lúc loại bỏ. Đảm bảo tính liên kết truy xuất nguồn gốc (traceability), duy trì tái sử dụng, xếp hạng ưu tiên khách quan, đánh giá tác động thay đổi và đạt được phê duyệt chính thức.	049fbde7-e335-5778-8bce-20b72d2b2fae;57ea410d-88f2-5866-98cc-5697ab43d7d0;caaf5c76-b6ef-505c-be9b-107c4b6746d3;d23b170a-d95f-543a-9e6a-1d25fe5ba95f;5dc6013e-3bcd-5ea6-9bd1-df8af8c1dec9;cef65728-a3e2-5cb5-96da-6d498714d068	#EA580C	true
6164c582-b9f5-550c-8da9-46c97ecb89b9	Solution Evaluation	2	Khối kiến thức thẩm định hiệu quả thực tế của giải pháp đã triển khai (hoặc nguyên mẫu thử nghiệm), phân tích các rào cản ngăn cản giải pháp hoặc doanh nghiệp khai phóng tối đa giá trị, và đưa ra khuyến nghị hành động khắc phục.	049fbde7-e335-5778-8bce-20b72d2b2fae;d331594a-da1e-54e7-948b-f7cc443afb6a;bd852669-b0d3-575c-9342-e232986379b5;8485acbc-210f-5ada-93be-66fb436f71da;93e5e972-31a1-5b5d-8a71-267c6422789e;2a7ba964-2983-5bfa-a69b-770ee78be3fc	#0891B2	true
979db1ed-bba3-59de-814c-3b5fcb360dbf	Strategy Analysis	2	Khối kiến thức định vị doanh nghiệp từ trạng thái hiện tại (Current State) sang trạng thái tương lai (Future State) mong muốn. Giúp nhận diện nhu cầu chiến lược, đánh giá năng lực hiện có, thẩm định rủi ro và xác lập lộ trình chiến lược thay đổi tối ưu.	049fbde7-e335-5778-8bce-20b72d2b2fae;8068ba7f-84a8-5bbf-a8ee-8237a82f99fe;6b96d09b-b86a-5e6c-b2b4-76c39faa00ac;a4244902-514b-57c2-9f55-9946dba19cf0;d2aec788-8114-520a-9d9f-bfce269be902	#7C3AED	true
844f2452-707e-55af-b265-fe14042dc140	Business Analysis Core Concept Model	3	Khung tư duy 6 yếu tố tương hỗ bình đẳng mô tả toàn diện bản chất công việc phân tích nghiệp vụ. Mọi tác vụ BA dù lớn hay nhỏ đều tác động hoặc bị chi phối bởi mối quan hệ giữa 6 khái niệm này.	b85bea86-46b2-594e-9b1a-72254af7d279;059b0651-4d18-52d7-a51c-14e307ced84b;7be7f66a-42ea-5fad-a32c-63c5c32b71c3;7cb1ab9d-b80c-5a10-9671-12b012e613f6;1a99740a-9daf-598a-a9d9-a84b7688ff3f;772cbebd-2312-5595-aeff-707d3103ee70;663f03f9-d35e-54f0-9cd2-d4401b48dcaa	#D97706	true
