#ID,display,name,host,thumbnail,image,description,location,time,endDate,pricing,link
1,no,Free Flow Brunch ,Resident chef Linh-San & Déglacer,img2.webp,,"A one-of-a-kind Free Flow Brunch weekend with our resident chef Linh-San (@sannysfood), marking First-ever resident chef concept in Hanoi. 
Let's celebrate this beautiful autumn breeze with Linh-San, whose hospitality and culinary career started in Denmark. Born and raised in Bulgaria while also having lived in Denmark and Vietnam, Linh-San grew her love for food as she explored the role it plays in each person’s identity and culture. For San, food is emotional, food brings people closer together. 

Linh-San has honed her skills working for some of the best chefs in the countries she has lived in. This coming October, Linh-San will collaborate with Déglacer on the Free Flow Brunch event, inviting you to enjoy a friendly and delicious brunch experience.

The brunch will be served buffet-style, including a variety of food & beverages to choose from: 
- Cold station: Caesar salad, grilled veggies, plenty of homemade bread, butter, rilletes, sun-dried tomatoes, olives, hummus dippings, french toast, ...
- Hot station: Beef Wellington, grilled prawn, sausages, ...
- Dessert: Fruit platter, tiramisu, mini muffin, ...

Limited seats - Reserve now! ","Déglacer, số 18, Ngõ 268 Ngọc Thuỵ, Long Biên, Hà Nội","9h30 - 14h - October 7-8
9h30 - 14h - October 14-15",15/10/2023,"685,000++/pax",https://www.facebook.com/events/1018062636112070
2,no,20/10 Special Set Menu & Gifts,Déglacer,IMG_0400.JPG,"Special set menu.PNG
2010-detail1.PNG
Enlight1137.jpg
2010Facebook.png","On the occasion of Vietnamese Women's Day, and just as every other day, we would love to celebrate and cherish all women in Vietnam. Especially this week, we have little gifts for all the ladies as a token of appreciation:
- Complimentary welcome drink & gifts for all ladies this week (18-22/10)
- Special set menu with wine pairing option: available for lunch & dinner from 21-22/10","Déglacer, số 18, Ngõ 268 Ngọc Thuỵ, Long Biên, Hà Nội",October 18-22 ,22/10/2023,,https://www.facebook.com/events/340967065169784
3,no,Halloween week ,Déglacer,Halloween IGFB Story.jpeg,"voucher.jpeg
fixed.jpg","𝐍𝐎 𝐅𝐑𝐈𝐆𝐇𝐓, 𝐎𝐍𝐋𝐘 𝐃𝐄𝐋𝐈𝐆𝐇𝐓!
𝐇𝐚𝐥𝐥𝐨𝐰𝐞𝐞𝐧 𝐜𝐨𝐬𝐭𝐮𝐦𝐞 - 𝐓𝐫𝐞𝐚𝐬𝐮𝐫𝐞 𝐡𝐮𝐧𝐭 - 𝐏𝐮𝐦𝐩𝐤𝐢𝐧 𝐝𝐞𝐜𝐨𝐫𝐚𝐭𝐢𝐨𝐧
Get ready for the Halloween week! Bring your friends, family, partners, and kids to get surprise treats from us and immerse in spooky vibes at Déglacer.
𝐓𝐫𝐞𝐚𝐬𝐮𝐫𝐞 𝐡𝐮𝐧𝐭: On October 28-29, we have some hidden prizes for you to ""hunt"" as you come to have lunch or dinner with us!
Look for special prizes around your table or our Halloween corner 🤗 Special prizes include a bottle of wine, a voucher of 500.000d, 200.000d, or 100.000d!
✨ Feel free to dress up and wear a costume for the night and come to our Halloween corner to decorate some carved pumpkins!","Déglacer, số 18, Ngõ 268 Ngọc Thuỵ, Long Biên, Hà Nội",October 25-30 ,30/10/2023,,https://fb.me/e/1pLjh9l9x
4,no,Family heritage - Collaboration with Chef Nguyen Van Tu,Déglacer,fam heritage ep1.jpg,"menu.jpg
chu Tu.jpeg
ironchefthai.jpeg
fam heritage ep1.jpg","In this first episode of the ""Family Heritage"" season, Déglacer is honoured to welcome chef Nguyen Van Tu - Iron Chef Vietnam 2012. Chef Nguyen Van Tu has more than 20 years of expertise in the culinary field. After graduating from Hanoi Tourism College, he began working in well-known hotels such as Hanoi Lake View, Meritus Wesk Lake, and Press Club. He is a well-known European chef in Hanoi, having played a significant role in the success of several major culinary events.

On this special occasion, Chef Hieu and Chef Tu are honoured to send Déglacer's diners a special set menu on November 5, 2023. Enjoy the taste of autumn from these two talented chefs, we hope that customers will have a memorable experience.
For more detailed information about the menu and table reservations, please contact the hotline or send a message to Déglacer so we can assist you as soon as possible.
","Déglacer, số 18, Ngõ 268 Ngọc Thuỵ, Long Biên, Hà Nội","17h-end, November 5",6/11/2023,"1,290,000++/pax",https://www.facebook.com/deglacer.hn/posts/pfbid0aiKmQWtEKEM7hYERjcmmemzvrs4dR6XMTMr1AvzYm52USGtkoQaz1d6VcHBoPqiyl
5,no,Fundraising Free Flow Brunch,Déglacer,ffb blue dragon.jpg,"social square blue.png
ffb blue 2.jpeg
ffb blue 3.jpeg
grill.jpeg
ffb blue grill.jpeg
ffb blue san.jpeg","This November, Deglacer will continue to collaborate with resident chef Linh-San to bring new brunch dishes. Fundraising Free Flow Brunch will donate 50% of profits to Blue Dragon Children's Foundation as part of their journey to support children and families in crisis throughout Vietnam. Furthermore, during this event, guests can directly participate in changing a child's life by supporting and auctioning Blue Dragon products.
Sneak peek at some new dishes:
🍃Bone marrow
🍃Tajine
🍃Macédoine
🍃Red velvet
And so much more to explore...

🕣 Time: 9.30 am - 2.00 pm, 18-19 & 25-26 November
✨ Fees: 1,125,000 VND/pax (net price)
Due to the limited capacity, reservations are recommended for an amazing experience via 0975 239 095
--------------
Déglacer - Modern riverside bistro
deglacerbistro.com
Add: No. 18, Lane 268 Ngoc Thuy, Long Bien, Hanoi
Hotline: 0975 239 095","Déglacer, số 18, Ngõ 268 Ngọc Thuỵ, Long Biên, Hà Nội","9.30 am - 2.00 pm, 18-19 & 25-26 November",18/11/2023,"1,125,000/pax",
6,no,Family heritage - Collaboration with Lucci Nguyen Tuan Anh from USEbar,"USEbar - 55 Ngo Hue, Hai Ba Trung, Hanoi",IMG_2500.jpeg,"IMG_2503.jpeg
IMG_2335.jpeg
IMG_2500.jpeg","FAMILY HERITAGE  EPISODE 2 X LUCCI NGUYEN TUAN ANH FROM USEBAR

Join Déglacer in toasting the much-anticipated episode 2 of the ""FAMILY HERITAGE"" series of events with two brothers from the same family, chef Ha Hieu and Mr. Nguyen Tuan Anh - founder of USEbar Hanoi.  There was a time when Tuan Anh and Hieu worked together at J.A.F.A restaurant around 2013-2014. Unlike most of his family members,  however, Tuan Anh chose to work in the bartending industry after graduating from high school and he has 8 years of experience in this sector thus far. He used to be a manager at The Haflington, one of Asia's 50 greatest bars in 2023, holding the World Class Champion award Vietnam 2023, after many years of working at some famous bars.

This Family Heritage event will take place at USEBar Hanoi, presenting a novel combination of a menu of unique canapes from Hieu - Déglacer complimented by innovative cocktails created by Tuan Anh and the USEbar crew.

Come and enjoy a special price of 950,000VND/pax
___

USEbar, 55 Ngo Hue, Hai Ba Trung, Hanoi,
Hotline: 035.666.8878 or 097.523.9095
Message Déglacer or USEbar for more info","USEbar - 55 Ngo Hue, Hai Ba Trung, Hanoi","19h - end 
December 12",12/12/2023,"950,000/pax",https://fb.me/e/wDp7I0EMt
7,no,Fundraising Free Flow Brunch x Keep Vietnam Clean,Déglacer,IMG_2646.jpeg,"IMG_2647.jpeg
IMG_2646.jpeg","FUNDRAISING FREE FLOW BRUNCH X KEEP VIETNAM CLEAN 

Celebrate your December with Déglacer and our new friend @keepvietnamclean in an extremely meaningful event - Fundraising Free Flow Brunch. With a mission to promote and inspire sustainable lifestyles and environmental health across Vietnam, Keep Vietnam Clean has engaged 5,244 volunteers, organised 106 clean-up events, collected 314 tons of waste, developed 1,700 m2 of greenspace, recruited 496 citizens to champion environmental improvement, set up 6 demo sites of regenerative farming practices. 

In this event, we invite you to enjoy a new glass of mulled wine with lamb, beef, and fresh seafood plate meals. Déglacer and diners will join forces with Keep Vietnam Clean in fundraising activities for the project ""Green Space, Healthy Lifestyle,"" planting shade trees for almost 900 students and 49 teachers at Phuc Tien Primary School, with 50% of the event profit given to Keep Vietnam Clean.

📍 Fundraising Free Flow Brunch: 850,000++/pax 
📅 From 10:00 - 14:30, November 16-17

We hope to see you at Déglacer!","Déglacer, số 18, Ngõ 268 Ngọc Thuỵ, Long Biên, Hà Nội","10 - 14:30, December 16-17",17/12/2023,"850,000++/pax",https://www.facebook.com/deglacer.hn/posts/pfbid02WpHH2UE2VfpmenfefhAMEQjVmrb96sHdXWWanxVQT5BaGxUMxKnFcPEiAiDQ5brxl
8,no,Christmas in Long Bien,Déglacer,xmas set menu.jpeg,"xmas vibes.jpeg
xmas set menu.jpeg","COZY CHRISTMAS DINNER AT DEGLACER! 

Tired of the hustle busle in the inner city? Come join us at Deglacer, with heartwarming meals and lovely indoor and outdoor space!

Christmas set menu is only at 950,000, and a free flow wine option of 555,000. Bring your family and friends to celebrate a good time with us! 

FYI: Guests can pick surprise presents from our Christmas trees, with a chance to win a bottle of wine, a glass of wine, vouchers....","Déglacer, số 18, Ngõ 268 Ngọc Thuỵ, Long Biên, Hà Nội",Dinners on December 23-25,25/12/2023,"950,000/pax",
9,no,PRE NEW YEAR'S EVE,Déglacer,NYE.JPG,"NYE.JPG
NYE2.JPG
NYE3.JPG
NYE4.JPG","Pre New Year's at Déglacer

As we bid farewell to this extraordinary year, we would be honoured if you chose us for your year-end celebrations.
Only on December 30, from 9pm, our Pre new year's eve will take place with festival of canapes, free flow wine and drinks. The menu holds many surprises and novel flavours for our esteemed guests paired with some selected music from our DJs.

Celebrate the festive spirit with your loved one for only 1,025,000 VND/ person. Unwrap joy, savor moments, and create cherished memories with us this holiday season!","Déglacer, số 18, Ngõ 268 Ngọc Thuỵ, Long Biên, Hà Nội",21h-end,30/12/2023,"1,025,000/pax",https://www.facebook.com/deglacer.hn/posts/pfbid01Epc9Y24mSMDjytj6c2qbo4SsZeqh2foxp6VS7cDUTELWqoT8XS1RnbmppuyiV6Ql
10,no,"LONG BIEN INVITES
Deux en un by Chef Hai and Chef Hieu",Déglacer,LBI1.jpeg,,"A new season of events are coming to you - LONG BIEN INVITES. 
Proudly calling Long Bien our home, we welcome guest chefs to Déglacer—a culinary playground for collaboration and innovation. We offer unique, wholesome, and fun dishes to delight our guests.

For our first event, we introduce Chef Hai from Paris in our open kitchen. He will bring fresh culinary experiences with a special à la carte menu themed ""𝐃𝐞𝐮𝐱 𝐞𝐧 𝐔𝐧 - Two in One” featuring the same main ingredients prepared in two distinct styles.

Chef Hai, born in Hà Nội, Việt Nam, moved to France at 18. He developed his skills in Michelin-starred restaurants and hosted pop-ups in Paris, showcasing his unique cooking style and creating memorable experiences.

Talk about his cooking style, Hai likes to use classic techniques combined with new ingredients as well as playing around with flavours. His cuisine is mostly French with influences from Việt Nam, Argentina, China, Italy and so much more as it retraces his culinary story.

And Chef Hai is here to tell you all about that. After a decade abroad, now he's back in his beloved hometown, ready to conquer new challenges and bring a little taste of Paris to Hà Nội, alongside with Chef Hieu at Déglacer.

🎶Not only good food and wines, live DJ by Dusan is waiting for you! Come & join us for this amazing event! ❤️‍🔥


🥂Special à la carte menu with natural/organic/sustainable wine pours with love.
✨June 1-2, seatings open from 18-21h 
🥖Reservation recommended! ","Déglacer, số 18, Ngõ 268 Ngọc Thuỵ, Long Biên, Hà Nội",1/6/2024 | 18-21h,2/6/2024,,
